r1_file	r2_file	status	read_pairs
./LBM03G11/LBM03G11_R1.fastq.gz	./LBM03G11/LBM03G11_R2.fastq.gz	OK	38034306
./LBM03H06/LBM03H06_R1.fastq.gz	./LBM03H06/LBM03H06_R2.fastq.gz	OK	43988335
./LBM04A01/LBM04A01_R1.fastq.gz	./LBM04A01/LBM04A01_R2.fastq.gz	OK	36060185
./LBM04A02/LBM04A02_R1.fastq.gz	./LBM04A02/LBM04A02_R2.fastq.gz	OK	58101329
./LBM04A03/LBM04A03_R1.fastq.gz	./LBM04A03/LBM04A03_R2.fastq.gz	OK	38163165
./LBM04A05/LBM04A05_R1.fastq.gz	./LBM04A05/LBM04A05_R2.fastq.gz	OK	52777959
./LBM04B01/LBM04B01_R1.fastq.gz	./LBM04B01/LBM04B01_R2.fastq.gz	OK	25919602
./LBM04B02/LBM04B02_R1.fastq.gz	./LBM04B02/LBM04B02_R2.fastq.gz	OK	70878071
./LBM04B04/LBM04B04_R1.fastq.gz	./LBM04B04/LBM04B04_R2.fastq.gz	OK	54616768
./LBM04B06/LBM04B06_R1.fastq.gz	./LBM04B06/LBM04B06_R2.fastq.gz	OK	30609731
./LBM04B08/LBM04B08_R1.fastq.gz	./LBM04B08/LBM04B08_R2.fastq.gz	OK	34342318
./LBM04C02/LBM04C02_R1.fastq.gz	./LBM04C02/LBM04C02_R2.fastq.gz	OK	48790973
./LBM04C03/LBM04C03_R1.fastq.gz	./LBM04C03/LBM04C03_R2.fastq.gz	OK	53509155
./LBM04C04/LBM04C04_R1.fastq.gz	./LBM04C04/LBM04C04_R2.fastq.gz	OK	42856837
./LBM04C05/LBM04C05_R1.fastq.gz	./LBM04C05/LBM04C05_R2.fastq.gz	OK	42968639
./LBM04C06/LBM04C06_R1.fastq.gz	./LBM04C06/LBM04C06_R2.fastq.gz	OK	36000316
./LBM04D01/LBM04D01_R1.fastq.gz	./LBM04D01/LBM04D01_R2.fastq.gz	OK	38398295
./LBM04D02/LBM04D02_R1.fastq.gz	./LBM04D02/LBM04D02_R2.fastq.gz	OK	48175847
./LBM04D05/LBM04D05_R1.fastq.gz	./LBM04D05/LBM04D05_R2.fastq.gz	OK	29986750
./LBM04D06/LBM04D06_R1.fastq.gz	./LBM04D06/LBM04D06_R2.fastq.gz	OK	33892393
./LBM04D08/LBM04D08_R1.fastq.gz	./LBM04D08/LBM04D08_R2.fastq.gz	OK	48061936
./LBM04E01/LBM04E01_R1.fastq.gz	./LBM04E01/LBM04E01_R2.fastq.gz	OK	53829193
./LBM04E02/LBM04E02_R1.fastq.gz	./LBM04E02/LBM04E02_R2.fastq.gz	OK	82487774
./LBM04E03/LBM04E03_R1.fastq.gz	./LBM04E03/LBM04E03_R2.fastq.gz	OK	46783416
./LBM04E04/LBM04E04_R1.fastq.gz	./LBM04E04/LBM04E04_R2.fastq.gz	OK	36990667
./LBM04E05/LBM04E05_R1.fastq.gz	./LBM04E05/LBM04E05_R2.fastq.gz	OK	33358933
./LBM04E06/LBM04E06_R1.fastq.gz	./LBM04E06/LBM04E06_R2.fastq.gz	OK	39365785
./LBM04E08/LBM04E08_R1.fastq.gz	./LBM04E08/LBM04E08_R2.fastq.gz	OK	29419513
./LBM04E11/LBM04E11_R1.fastq.gz	./LBM04E11/LBM04E11_R2.fastq.gz	OK	54780916
./LBM04F01/LBM04F01_R1.fastq.gz	./LBM04F01/LBM04F01_R2.fastq.gz	OK	47622756
./LBM04F02/LBM04F02_R1.fastq.gz	./LBM04F02/LBM04F02_R2.fastq.gz	OK	87568892
./LBM04F03/LBM04F03_R1.fastq.gz	./LBM04F03/LBM04F03_R2.fastq.gz	OK	67343325
./LBM04F04/LBM04F04_R1.fastq.gz	./LBM04F04/LBM04F04_R2.fastq.gz	OK	32453490
./LBM04F05/LBM04F05_R1.fastq.gz	./LBM04F05/LBM04F05_R2.fastq.gz	OK	40129041
./LBM04F06/LBM04F06_R1.fastq.gz	./LBM04F06/LBM04F06_R2.fastq.gz	OK	30008580
./LBM04G01/LBM04G01_R1.fastq.gz	./LBM04G01/LBM04G01_R2.fastq.gz	OK	55538571
./LBM04G02/LBM04G02_R1.fastq.gz	./LBM04G02/LBM04G02_R2.fastq.gz	OK	77868040
./LBM04G03/LBM04G03_R1.fastq.gz	./LBM04G03/LBM04G03_R2.fastq.gz	OK	36967000
./LBM04G04/LBM04G04_R1.fastq.gz	./LBM04G04/LBM04G04_R2.fastq.gz	OK	41700147
./LBM04G05/LBM04G05_R1.fastq.gz	./LBM04G05/LBM04G05_R2.fastq.gz	OK	48445480
./LBM04G06/LBM04G06_R1.fastq.gz	./LBM04G06/LBM04G06_R2.fastq.gz	OK	29908971
./LBM04G08/LBM04G08_R1.fastq.gz	./LBM04G08/LBM04G08_R2.fastq.gz	OK	25776119
./LBM04H01/LBM04H01_R1.fastq.gz	./LBM04H01/LBM04H01_R2.fastq.gz	OK	49835258
